# SHA-256 of each downloaded series. The series digest is the
# SHA-256 of its per-file digests, sorted and joined by newlines,
# so it does not depend on the order files arrive in.
# sha256  files  bytes  series_uid
c8c6d0aed4b85934bf5951285f458333f901dae4b08a60fe7196a2bd422d0d09  1  646740  1.2.276.0.7230010.3.1.3.17436516.585227.1722970750.409349
4a8abdb41fa6025c5c23ea845bb74fd2ed645b0d7c514d89847e95ac5aaa23e8  1  740472  1.2.276.0.7230010.3.1.3.17436516.587232.1722970758.425679
b35185066869507634627a4824e8d10bc9cb866076abad6fdb4255019193527f  1  1072240  1.2.276.0.7230010.3.1.3.17436516.595875.1722970800.420080
19de1c603c2c1728e2d3ceb58fbdfc3c116a1e27e81da5bceb94b31f36ad45f5  1  1146988  1.2.276.0.7230010.3.1.3.17436516.605506.1722970847.751387
be659cf58002452bba717b41e07bb93b7d460d4fe28a3e2193386ff6ba7f3b8b  1  774054  1.2.276.0.7230010.3.1.3.17436516.606540.1722970853.327836
ff4eb25aacbf6e2814f225d582bfc9309cb71cddb9e2e2b6cf686fe7f446818f  1  450074  1.2.276.0.7230010.3.1.3.17436516.608094.1722970861.36154
3bb8079dd8ae76eeeefbc663229215af3d712643d27303968e0ce35892c5897c  1  755288  1.2.276.0.7230010.3.1.3.17436516.614296.1722970894.736906
74b0caa7007171e4d1f16ded92dbe3ceb3c6be1e6fd7d04770460aea6cc8eb84  1  733450  1.2.276.0.7230010.3.1.3.17436516.622105.1722970939.131403
bf0137faa4bbbe7a7b585a8c6488352c6d5bfaf75cfbf59b06f8a0a78cfc8e53  1  848434  1.2.276.0.7230010.3.1.3.17436516.624691.1722970953.723282
460b4e171b9acd6bc60ec531ac89972c6d1f3540544948193dbd5c128b6f4e3a  1  1017888  1.2.276.0.7230010.3.1.3.17436516.633109.1722970996.5222
34b9f49dbd2c22a1aa4e07e088ed57a6d4666cb022a15d04e082091441ecbe8c  1  1246968  1.2.276.0.7230010.3.1.3.17436516.652684.1722971098.873042
2c836c5e960d20abbdceaee1ef0b57ebc9e8f50107932936722f4b8c67f7e51c  1  991858  1.2.276.0.7230010.3.1.3.17436516.679504.1722971241.112072
5928feb6c8279a9456173e45b90ad2ad5af8fdb96b38b612fb0646b253e25fde  1  876308  1.2.276.0.7230010.3.1.3.17436516.683902.1722971264.451658
0d51e6091804ed75707fbc636e69944a1d7e290186296495f7ee8832338fdcdf  1  1064246  1.2.276.0.7230010.3.1.3.17436516.693309.1722971326.32853
a79eb2e21bd4ab5b736da4b9e1ebe1196fceaa549c2ed35c775d13dafc092e44  1  881988  1.2.276.0.7230010.3.1.3.17436516.695129.1722971336.942614
4c25ef59b8cdd000fa6969ba6c803a414d291b4056ec4e9088d433643348939b  1  1254386  1.2.276.0.7230010.3.1.3.17436516.699646.1722971360.437989
540cc5b802e7a8f0bd889a6184dca372addd05caa2c8fc406f686837b9b0b869  1  903018  1.2.276.0.7230010.3.1.3.17436516.704514.1722971399.211794
dcb53098c134cf507130e5ed859f1dd253bb448c1014dded3a0e68f5e8bd3121  1  504896  1.2.276.0.7230010.3.1.3.17436516.708840.1722971424.565292
9266536f50e4362ffe3698f0c45af34f2f7bf0210cb548a84a9b8fd900a3a028  1  1099894  1.2.276.0.7230010.3.1.3.17436516.716530.1722971450.207758
d92bf2cba674f99e51236c7d287d0762395135afd80cd1c60c59707a75f13b69  1  571462  1.2.276.0.7230010.3.1.3.17436516.727184.1722971503.13607
