split,actual,predicted,took_part_in_epoch_selection,count
train,non-tumor,non-tumor,no,24244
train,non-tumor,tumor,no,1136
train,tumor,non-tumor,no,340
train,tumor,tumor,no,12350
validation,non-tumor,non-tumor,yes: the retained epoch maximizes this split's ROC-AUC,3856
validation,non-tumor,tumor,yes: the retained epoch maximizes this split's ROC-AUC,348
validation,tumor,non-tumor,yes: the retained epoch maximizes this split's ROC-AUC,310
validation,tumor,tumor,yes: the retained epoch maximizes this split's ROC-AUC,1792
test,non-tumor,non-tumor,no,9450
test,non-tumor,tumor,no,158
test,tumor,non-tumor,no,535
test,tumor,tumor,no,4269
