key,value
cohort_eligible_patients,41
cohort_first_patient,UPENN-GBM-00019
cohort_last_patient,UPENN-GBM-00626
cohort_patients,41
collection_manufacturers,3
collection_mr_series,3680
collection_scanner_combinations,17
collection_total_patients,630
download_bytes,9069514338
download_files,54673
download_gb,8.44664
download_license_verified,CC BY 4.0
download_series,276
eval_test_accuracy,0.8859
eval_test_false_negative,1172
eval_test_false_positive,21
eval_test_majority_class_accuracy,0.6667
eval_test_non_tumor_f1,0.9209
eval_test_non_tumor_precision,0.8556
eval_test_non_tumor_recall,0.997
eval_test_patches,10452
eval_test_patient_roc_auc_max,1
eval_test_patient_roc_auc_median,0.9815
eval_test_patient_roc_auc_min,0.9361
eval_test_patients,10
eval_test_patients_below_roc_auc_0.8,0
eval_test_roc_auc,0.9731
eval_test_true_negative,6947
eval_test_true_positive,2312
eval_test_tumor_f1,0.7949
eval_test_tumor_precision,0.991
eval_test_tumor_recall,0.6636
eval_threshold,0.5
eval_train_accuracy,0.9917
eval_train_false_negative,239
eval_train_false_positive,12
eval_train_non_tumor_f1,0.9938
eval_train_non_tumor_precision,0.9883
eval_train_non_tumor_recall,0.9994
eval_train_patches,30294
eval_train_roc_auc,0.9999
eval_train_true_negative,20184
eval_train_true_positive,9859
eval_train_tumor_f1,0.9874
eval_train_tumor_precision,0.9988
eval_train_tumor_recall,0.9763
eval_validation_accuracy,0.9153
eval_validation_false_negative,619
eval_validation_false_positive,41
eval_validation_non_tumor_f1,0.9398
eval_validation_non_tumor_precision,0.8928
eval_validation_non_tumor_recall,0.9921
eval_validation_patches,7791
eval_validation_roc_auc,0.9792
eval_validation_true_negative,5153
eval_validation_true_positive,1978
eval_validation_tumor_f1,0.857
eval_validation_tumor_precision,0.9797
eval_validation_tumor_recall,0.7616
figures_written,14
headers_instances,54632
headers_patients,41
headers_series,235
headers_series_with_varying_cols,0
headers_series_with_varying_photometric,0
headers_series_with_varying_rows,0
headers_tags_extracted,16
idc_index_data_version,24.2.2
idc_index_version,v24
leakage_roc_auc_inflation,0.0199
leakage_test_roc_auc_patch_split,0.9929
leakage_test_roc_auc_patient_split,0.9731
manifest_image_series,235
manifest_instances,54673
manifest_label_series,41
manifest_license,CC BY 4.0
manifest_series,276
manifest_size_gb,8.85695
metrics_recorded,162
model_batch_size,64
model_dropout,0.5
model_epochs,20
model_final_train_loss,0.0361
model_final_validation_roc_auc,0.9792
model_grid_best_validation_roc_auc,0.9723
model_grid_dropouts,0.3;0.5
model_grid_epochs,8
model_grid_learning_rates,1.0;0.1
model_grid_points,4
model_grid_worst_validation_roc_auc,0.9308
model_learning_rate,1
model_parameters,77585
model_train_seconds,260.9
patch_brain_fraction_median,0.246905
patch_intensity_scale_max,1905
patch_intensity_scale_min,1110
patch_negative_mean_intensity,0.28885
patch_negative_share_near_empty,0
patch_pixel_max,1
patch_pixel_min,0
patch_positive_mean_intensity,0.311935
patch_positive_tumor_fraction,0.5
patch_size,32
patch_stride,8
patches_ambiguous_discarded,167503
patches_max_per_patient,1500
patches_min_per_patient,87
patches_natural_positive_rate_median,0.0200442
patches_negative,32358
patches_patients,41
patches_positive,16179
patches_positive_rate,0.333333
patches_total,48537
patches_tumor_fraction_of_brain_median,0.0260395
phi_burned_in_annotation_yes,0
phi_identity_removed_yes,235
phi_max_private_tags,43
phi_patient_id_non_conforming,0
phi_patient_name_differs_from_id,0
phi_series_audited,276
phi_series_with_populated_identifier_tags,0
phi_series_with_private_tags,235
pipeline_seconds,1270.1
pipeline_seconds_stage_02,128.4
pipeline_seconds_stage_03,7.2
pipeline_seconds_stage_04,176.5
pipeline_seconds_stage_05,1.6
pipeline_seconds_stage_06,936.9
pipeline_seconds_stage_07,7.1
pipeline_seconds_stage_08,12.3
qc_bits_allocated_values,1
qc_distinct_grids,5
qc_findings_flagged,82
qc_findings_total,102
qc_manufacturers,1
qc_max_grids_one_patient,4
qc_modalities,1
qc_non_structural_descriptions,10
qc_non_structural_series,71
qc_patients,41
qc_patients_with_dimension_change,31
qc_patients_with_multiple_grids,41
qc_photometric_values,1
qc_scanner_combinations,1
qc_series,235
qc_structural_series,164
qc_within_series_inconsistent_fields,0
segment_voxels_edema,2050567
segment_voxels_enhancing_lesion,821312
segment_voxels_necrosis,331949
split_patch_level_patient_overlap,41
split_patient_overlap,0
split_seed,20251117
split_test_patches,10452
split_test_patients,10
split_test_positive_rate,0.333333
split_train_patches,30294
split_train_patients,25
split_train_positive_rate,0.333333
split_validation_patches,7791
split_validation_patients,6
split_validation_positive_rate,0.333333
